,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
227,manang,MANANG_S1.1_P3123_R2,2024,2,193.5,189.3017,195,-187.8017,,0,0
228,manang,MANANG_S5_P4123_R2,2023,1,191,434.32,776.49,151.17,,0,0
229,manang,MANANG_S5_P4123_R2,2024,2,193.5,189.3017,195,-187.8017,,0,0
230,manang,MANANG_S1.3_P2312_R2,2023,1,202,479.32,1050.72,369.4,,0,0
231,manang,MANANG_S1.3_P2312_R2,2024,2,221.5,498.4422485,660,-59.94224845,,0,0
232,manang,MANANG_S8.2_P1231_R3,2023,1,215.5,524.5,0,-740,,0,0
233,manang,MANANG_S8.2_P1231_R3,2024,2,221.5,363.6054763,660,74.8945237,,0,0
234,manang,MANANG_S12_P0000_R7,2023,1,193.5,412.1,859.604,254.004,,0,0
235,manang,MANANG_S5_P2341_R3,2023,1,191,434.32,1168.2,542.88,,0,0
236,manang,MANANG_S5_P2341_R3,2024,2,230,432.2510423,627,-35.2510423,,0,0
237,manang,MANANG_S10.2_P1231_R2,2023,1,213,448.4972,0,-661.4972,,0,0
238,manang,MANANG_S10.2_P1231_R2,2024,2,221.5,375.0788045,594,-2.57880445,,0,0
239,manang,MANANG_S10.2_P1231_R3,2023,1,213,448.4972,0,-661.4972,,0,0
240,manang,MANANG_S10.2_P1231_R3,2024,2,221.5,375.0788045,693,96.42119555,,0,0
241,manang,MANANG_S9_P3123_R1,2023,1,224,517.72,0,-741.72,,0,0
242,manang,MANANG_S9_P3123_R1,2024,2,193.5,210.7522,0,-404.2522,,0,0
243,manang,MANANG_S1.3_P3123_R1,2023,1,202,479.32,1187.34,506.02,,0,0
244,manang,MANANG_S1.3_P3123_R1,2024,2,193.5,189.3017,130,-252.8017,,0,0
245,manang,MANANG_S9_P2312_R3,2023,1,202,434.32,1002.21,365.89,,0,0
246,manang,MANANG_S9_P2312_R3,2024,2,210.5,434.5688568,1190,544.9311432,,0,0
247,manang,MANANG_S12_P0000_R6,2023,1,193.5,412.1,671.138,65.538,,0,0
248,manang,MANANG_S6_P1111_R3,2023,1,202,434.32,931.59,295.27,,0,0
249,manang,MANANG_S6_P1111_R3,2024,2,230,416.0514828,214.5,-431.5514828,,0,0
250,manang,MANANG_S5_P2341_R1,2023,1,202,434.32,1029.93,393.61,,0,0
251,manang,MANANG_S5_P2341_R1,2024,2,230,432.2510423,363,-299.2510423,,0,0
252,manang,MANANG_S2_P1212_R2,2023,1,204.5,501.3472,744.25,38.4028,,0,0
253,manang,MANANG_S2_P1212_R2,2024,2,230,420.2705155,627,-23.2705155,,0,0
254,manang,MANANG_S8.1_P3123_R2,2023,1,191,434.32,1278.75,653.43,,0,0
255,manang,MANANG_S8.1_P3123_R2,2024,2,204.5,215.8022,0,-420.3022,,0,0
256,manang,MANANG_S9_P3123_R3,2023,1,224,517.72,0,-741.72,,0,0
257,manang,MANANG_S9_P3123_R3,2024,2,193.5,210.7522,0,-404.2522,,0,0
258,manang,MANANG_S8.1_P1231_R1,2023,1,215.5,524.5,0,-740,,0,0
259,manang,MANANG_S8.1_P1231_R1,2024,2,221.5,407.6677994,495,-134.1677994,,0,0
260,manang,MANANG_S7_P1231_R2,2023,1,285,746.7126587,561,-470.7126587,,0,0
261,manang,MANANG_S7_P3123_R1,2023,1,191,434.32,1123.65,498.33,,0,0
262,manang,MANANG_S12_P0000_R1,2023,1,182.5,412.1,581.57,-13.03,,0,0
263,manang,MANANG_S12_P0000_R1,2024,2,221.5,335.561904,528,-29.06190395,,0,0
264,manang,MANANG_S1.2_P2312_R1,2023,1,202,434.32,1105.17,468.85,,0,0
265,manang,MANANG_S1.2_P2312_R1,2024,2,230,405.9979634,264,-371.9979634,,0,0
266,manang,MANANG_S4_P2341_R3,2023,1,191,450.5,832.236,190.736,,0,0
267,manang,MANANG_S4_P2341_R3,2024,2,221.5,376.4705177,726,128.0294823,,0,0
268,manang,MANANG_S8.2_P2312_R2,2023,1,213,434.32,1105.17,457.85,,0,0
269,manang,MANANG_S8.2_P2312_R2,2024,2,230,364.0891762,594,-0.0891762,,0,0
270,manang,MANANG_S10.2_P2312_R2,2023,1,191,434.32,857.34,232.02,,0,0
271,manang,MANANG_S10.2_P2312_R2,2024,2,221.5,403.3494389,594,-30.8494389,,0,0
272,manang,MANANG_S5_P4123_R1,2023,1,202,434.32,921.03,284.71,,0,0
273,manang,MANANG_S5_P4123_R1,2024,2,193.5,189.3017,65,-317.8017,,0,0
274,manang,MANANG_S2_P2121_R2,2023,1,202,434.32,992.31,355.99,,0,0
275,manang,MANANG_S2_P2121_R2,2024,2,193.5,189.3017,325,-57.8017,,0,0
276,manang,MANANG_S6_P1111_R4,2023,1,180,434.32,1197.24,582.92,,0,0
277,manang,MANANG_S10.2_P2312_R3,2023,1,191,434.32,1058.31,432.99,,0,0
278,manang,MANANG_S10.2_P2312_R3,2024,2,221.5,403.3494389,693,68.1505611,,0,0
279,wallup,WALLUP_S4_P1231_R2,2023,1,171.5,233.2472,1751.1,1346.3528,,0,0
280,wallup,WALLUP_S1_P3123_R1,2023,1,169,190.47,1405.47,1046,,0,0
281,wallup,WALLUP_S3_P2341_R3,2023,1,147,521.3,1633.372,965.072,,0,0
282,wallup,WALLUP_S2_P2341_R3,2023,1,158,521.3,1634.616,955.316,,0,0
283,wallup,WALLUP_S5_P0000_R1,2023,1,158,201.47,1503.81,1144.34,,0,0
284,wallup,WALLUP_S2_P4123_R2,2023,1,158,377.97,1716.99,1181.02,,0,0
